Catégorie : Toutes catégories

Semaine,ecology: (Dans tous les pays)
2017-11-19,72
2017-11-26,87
2017-12-03,91
2017-12-10,91
2017-12-17,65
2017-12-24,39
2017-12-31,56
2018-01-07,79
2018-01-14,79
2018-01-21,85
2018-01-28,83
2018-02-04,83
2018-02-11,86
2018-02-18,84
2018-02-25,89
2018-03-04,86
2018-03-11,86
2018-03-18,93
2018-03-25,83
2018-04-01,83
2018-04-08,92
2018-04-15,93
2018-04-22,95
2018-04-29,96
2018-05-06,95
2018-05-13,89
2018-05-20,84
2018-05-27,71
2018-06-03,73
2018-06-10,62
2018-06-17,60
2018-06-24,53
2018-07-01,53
2018-07-08,54
2018-07-15,57
2018-07-22,59
2018-07-29,59
2018-08-05,59
2018-08-12,67
2018-08-19,75
2018-08-26,76
2018-09-02,85
2018-09-09,91
2018-09-16,89
2018-09-23,90
2018-09-30,87
2018-10-07,88
2018-10-14,83
2018-10-21,83
2018-10-28,83
2018-11-04,81
2018-11-11,80
2018-11-18,68
2018-11-25,86
2018-12-02,85
2018-12-09,87
2018-12-16,67
2018-12-23,39
2018-12-30,51
2019-01-06,73
2019-01-13,72
2019-01-20,72
2019-01-27,75
2019-02-03,76
2019-02-10,76
2019-02-17,79
2019-02-24,79
2019-03-03,82
2019-03-10,81
2019-03-17,82
2019-03-24,81
2019-03-31,86
2019-04-07,87
2019-04-14,81
2019-04-21,87
2019-04-28,91
2019-05-05,96
2019-05-12,88
2019-05-19,79
2019-05-26,70
2019-06-02,70
2019-06-09,66
2019-06-16,62
2019-06-23,56
2019-06-30,55
2019-07-07,57
2019-07-14,55
2019-07-21,56
2019-07-28,55
2019-08-04,55
2019-08-11,58
2019-08-18,77
2019-08-25,78
2019-09-01,81
2019-09-08,90
2019-09-15,95
2019-09-22,91
2019-09-29,85
2019-10-06,84
2019-10-13,84
2019-10-20,88
2019-10-27,77
2019-11-03,84
2019-11-10,80
2019-11-17,84
2019-11-24,66
2019-12-01,82
2019-12-08,84
2019-12-15,63
2019-12-22,38
2019-12-29,43
2020-01-05,72
2020-01-12,74
2020-01-19,74
2020-01-26,74
2020-02-02,76
2020-02-09,77
2020-02-16,79
2020-02-23,73
2020-03-01,78
2020-03-08,73
2020-03-15,58
2020-03-22,61
2020-03-29,69
2020-04-05,68
2020-04-12,73
2020-04-19,83
2020-04-26,71
2020-05-03,81
2020-05-10,73
2020-05-17,67
2020-05-24,60
2020-05-31,64
2020-06-07,58
2020-06-14,57
2020-06-21,55
2020-06-28,51
2020-07-05,52
2020-07-12,51
2020-07-19,54
2020-07-26,53
2020-08-02,49
2020-08-09,59
2020-08-16,70
2020-08-23,78
2020-08-30,79
2020-09-06,90
2020-09-13,100
2020-09-20,95
2020-09-27,85
2020-10-04,83
2020-10-11,72
2020-10-18,65
2020-10-25,61
2020-11-01,57
2020-11-08,64
2020-11-15,70
2020-11-22,56
2020-11-29,67
2020-12-06,63
2020-12-13,54
2020-12-20,40
2020-12-27,38
2021-01-03,50
2021-01-10,58
2021-01-17,61
2021-01-24,60
2021-01-31,62
2021-02-07,62
2021-02-14,60
2021-02-21,65
2021-02-28,66
2021-03-07,61
2021-03-14,64
2021-03-21,66
2021-03-28,56
2021-04-04,60
2021-04-11,64
2021-04-18,69
2021-04-25,66
2021-05-02,65
2021-05-09,61
2021-05-16,61
2021-05-23,58
2021-05-30,60
2021-06-06,55
2021-06-13,50
2021-06-20,51
2021-06-27,49
2021-07-04,47
2021-07-11,50
2021-07-18,48
2021-07-25,46
2021-08-01,50
2021-08-08,53
2021-08-15,52
2021-08-22,55
2021-08-29,61
2021-09-05,67
2021-09-12,68
2021-09-19,73
2021-09-26,69
2021-10-03,66
2021-10-10,67
2021-10-17,67
2021-10-24,66
2021-10-31,65
2021-11-07,66
2021-11-14,66
2021-11-21,55
2021-11-28,65
2021-12-05,68
2021-12-12,62
2021-12-19,42
2021-12-26,38
2022-01-02,65
2022-01-09,72
2022-01-16,72
2022-01-23,87
2022-01-30,76
2022-02-06,82
2022-02-13,83
2022-02-20,81
2022-02-27,85
2022-03-06,81
2022-03-13,82
2022-03-20,88
2022-03-27,89
2022-04-03,90
2022-04-10,82
2022-04-17,92
2022-04-24,87
2022-05-01,86
2022-05-08,88
2022-05-15,86
2022-05-22,80
2022-05-29,74
2022-06-05,77
2022-06-12,72
2022-06-19,69
2022-06-26,64
2022-07-03,58
2022-07-10,62
2022-07-17,58
2022-07-24,60
2022-07-31,61
2022-08-07,57
2022-08-14,65
2022-08-21,77
2022-08-28,77
2022-09-04,86
2022-09-11,87
2022-09-18,88
2022-09-25,83
2022-10-02,82
2022-10-09,87
2022-10-16,75
2022-10-23,82
2022-10-30,79
2022-11-06,89
